tipo de identificación,número de identificación,número de cuenta,nombres,tipo transacción,monto transacción,tipo de producto,ciudad,fecha-hora,fecha de nacimiento,dirección del cliente,teléfono del cliente,correo del cliente,reporte centrales de riesgo,monto reporte de central de riesgo,tiempo en mora del reporte de riesgo
PAS,242405305,9800154474,Cliente142 Torres,Depósito,2491299,Tarjeta de crédito,Pereira,2024-02-28 08:40:21,1953-05-01,Avenida 7 #16-42,3729694824,usuario@dominio,Sí,543638,60 días
PAS,350141363,9015517316,Cliente143 Torres,Retiro,323709,Tarjeta de crédito,Cali,1709156962,1991-12-24,Avenida 114 #71-25,3850513156,cliente143.485@yahoo.com,No,,
PAS,224172047,3224616019,Cliente144 Gómez,Depósito,4643136,Inversión,Medellín,1709159721,1983-11-08,Avenida 66 #64-21,3616203811,sincorreo,No,,
PAS,645855960,6299698290,Cliente145 Ramírez,Depósito,4597942,Cuenta de ahorros,Pereira,1709138772,1953-07-04,Avenida 103 #45-45,3842607308,correo@.,Sí,459534,120 días
TI,429440856,1848045738,Cliente146 Torres,Pago,1111660,Tarjeta de crédito,Cali,1709103333,1988-06-15,Diagonal 39 #53-4,3983897370,sincorreo,Sí,591967,60 días
PAS,222500075,6197950893,Cliente147 Pérez,Pago,2283750,Cuenta corriente,Medellín,2024-02-28 23:32:39,1976-06-21,Calle 21 #2-35,3789793104,cliente147.850@mail.com,No,,
CC,621216808,2153747848,Cliente148 Torres,Pago,400243,Préstamo personal,Pereira,2024-02-28 01:38:24,1965-06-03,Diagonal 53 #31-29,3149870062,cliente148.925@yahoo.com,No,,
CC,186921086,8486039934,Cliente149 Méndez,Transferencia,1792233,Préstamo personal,Bogotá,2024-02-28 16:04:04,1988-03-03,Calle 85 #33-21,3974489980,correo@.,Sí,506146,60 días
CE,532307639,9128901565,Cliente150 Pérez,Compra,4145493,Cuenta de ahorros,Cali,2024-02-28 04:26:13,1972-11-22,Carrera 55 #49-15,3504467219,cliente150.521@outlook.com,Sí,827160,90 días
CE,282266061,5910499967,Cliente151 Méndez,Depósito,2184283,Inversión,Cali,2024-02-28 15:38:12,1950-06-09,Carrera 50 #1-32,3369279111,correo@.,Sí,33386,120 días
CC,733853769,7852889828,Cliente152 Torres,Retiro,1804697,Cuenta de ahorros,Pereira,2024-02-28 10:46:48,1969-07-03,Carrera 9 #46-2,3351637027,sincorreo,Sí,52894,30 días
CC,834546849,7530128860,Cliente153 Torres,Compra,2739729,Cuenta de ahorros,Medellín,2024-02-28 11:49:38,2003-01-07,Calle 123 #66-26,3870406156,correo@,No,,
CC,212041854,4965977046,Cliente154 Ramírez,Pago,3919777,Cuenta corriente,Bogotá,1709163372,2002-05-28,Calle 107 #75-13,3808306148,correo@.,No,,
CC,922163060,9613935886,Cliente155 Pérez,Transferencia,925256,Inversión,Bucaramanga,2024-02-28 00:19:18,1964-04-02,Avenida 79 #82-21,3243197665,correo@,Sí,632378,60 días
CE,325956217,5299142614,Cliente156 Méndez,Retiro,4029002,Préstamo personal,Cartagena,1709102219,1950-07-02,Diagonal 111 #33-6,3744915443,sincorreo,Sí,692990,60 días
CE,481756998,5663933464,Cliente157 Torres,Retiro,3962227,Cuenta de ahorros,Cali,1709156631,2000-11-19,Calle 59 #97-31,3249915118,sincorreo,No,,
TI,140110269,9081886886,Cliente158 Ramírez,Retiro,85020,Cuenta de ahorros,Medellín,1709114197,1985-10-13,Carrera 57 #80-13,3674743789,cliente158.935@outlook.com,Sí,575579,60 días
CC,944085228,7266040419,Cliente159 Gómez,Pago,4061351,Inversión,Medellín,2024-02-28 14:06:25,1991-03-12,Avenida 126 #69-15,3661170794,@dominio.com,No,,
CC,583008219,6774036212,Cliente160 Pérez,Depósito,4488279,Tarjeta de crédito,Barranquilla,1709120636,1962-01-09,Avenida 111 #36-21,3470753562,sincorreo,No,,
PAS,401276872,6168524934,Cliente161 Torres,Retiro,4984686,Tarjeta de crédito,Bogotá,2024-02-28 09:46:14,1990-07-27,Avenida 122 #11-50,3789361619,cliente161.724@gmail.com,Sí,127165,120 días
PAS,179814061,5019674607,Cliente162 Pérez,Retiro,1906036,Cuenta corriente,Medellín,1709155011,1970-11-07,Calle 43 #92-10,3439767967,@dominio.com,No,,
CE,965253592,7374609591,Cliente163 Gómez,Pago,2194188,Préstamo personal,Bucaramanga,1709140975,1958-04-05,Carrera 128 #39-46,3831137309,cliente163.786@gmail.com,No,,
CC,448032547,9551876867,Cliente164 Pérez,Retiro,1260575,Inversión,Medellín,1709106198,1952-10-01,Avenida 90 #65-29,3785175895,cliente164.981@mail.com,No,,
CC,924379946,2931247947,Cliente165 Méndez,Pago,3363184,Cuenta de ahorros,Cartagena,2024-02-28 02:49:04,2001-05-20,Avenida 148 #6-8,3425408527,correo@.,No,,
CE,371900467,5855708404,Cliente166 Gómez,Compra,1517439,Tarjeta de crédito,Cali,1709079173,1994-12-23,Carrera 99 #64-27,3497728730,@dominio.com,No,,
CC,204326869,7570458555,Cliente167 Méndez,Pago,3902903,Cuenta de ahorros,Medellín,1709145248,1955-05-09,Carrera 114 #51-4,3299877370,cliente167.266@yahoo.com,Sí,595895,30 días
CE,957994904,3693653041,Cliente168 Gómez,Compra,1662047,Inversión,Cartagena,2024-02-28 07:38:07,1956-08-25,Carrera 119 #89-29,3596456013,cliente168.195@gmail.com,No,,
PAS,785371541,1529688253,Cliente169 Méndez,Compra,1197593,Cuenta corriente,Barranquilla,1709090542,1955-07-19,Avenida 129 #65-9,3499575081,cliente169.72@outlook.com,Sí,697398,60 días
CE,117606686,3393800510,Cliente170 Torres,Depósito,3706405,Cuenta de ahorros,Cali,2024-02-28 15:18:31,1954-10-21,Calle 13 #76-5,3217575939,cliente170.653@yahoo.com,Sí,908357,60 días
CE,222383293,4045220576,Cliente171 Méndez,Retiro,2485118,Inversión,Bogotá,2024-02-28 17:21:57,1986-11-09,Calle 43 #14-46,3880144238,@dominio.com,No,,
PAS,917816724,9515333122,Cliente172 Méndez,Transferencia,1599679,Tarjeta de crédito,Bucaramanga,2024-02-28 08:07:34,1997-02-28,Calle 63 #24-27,3447917563,@dominio.com,No,,
TI,995832207,9684232299,Cliente173 Gómez,Transferencia,4949597,Cuenta de ahorros,Bucaramanga,1709113945,1951-12-19,Calle 115 #17-15,3620622320,cliente173.157@mail.com,No,,
TI,657461448,9332029003,Cliente174 Torres,Compra,1400477,Préstamo personal,Medellín,2024-02-28 10:19:07,1959-03-21,Carrera 104 #31-37,3179725888,correo@.,Sí,972386,30 días
PAS,361890011,1938410766,Cliente175 Méndez,Pago,2263217,Cuenta de ahorros,Bogotá,2024-02-28 17:53:18,1957-09-25,Avenida 139 #58-2,3308385576,@dominio.com,No,,
CE,683622039,8599412935,Cliente176 Ramírez,Compra,2500578,Tarjeta de crédito,Bucaramanga,1709152179,1968-06-28,Carrera 43 #80-19,3506138392,cliente176.242@yahoo.com,No,,
CC,598362223,3757640854,Cliente177 Méndez,Transferencia,752129,Préstamo personal,Pereira,2024-02-28 08:12:56,1960-02-06,Carrera 13 #89-7,3429125954,correo@,No,,
TI,688958663,3924757968,Cliente178 Pérez,Transferencia,989319,Inversión,Barranquilla,2024-02-28 22:33:53,1996-11-20,Calle 63 #44-16,3924075753,cliente178.205@mail.com,No,,
CC,533209821,4681947536,Cliente179 Torres,Compra,3668805,Cuenta de ahorros,Barranquilla,2024-02-28 05:08:37,1974-02-07,Diagonal 119 #13-30,3410271584,cliente179.457@gmail.com,No,,
CE,432130907,5363314924,Cliente180 Pérez,Compra,3962174,Tarjeta de crédito,Pereira,2024-02-28 19:53:30,1993-12-09,Avenida 106 #86-33,3466744267,@dominio.com,Sí,580097,30 días
TI,279003327,2407583287,Cliente181 Méndez,Transferencia,4879541,Inversión,Cali,2024-02-28 20:38:05,1998-02-27,Carrera 44 #68-22,3328379507,cliente181.55@yahoo.com,Sí,176064,30 días
CC,119052961,5190163305,Cliente182 Ramírez,Transferencia,400111,Cuenta corriente,Bogotá,2024-02-28 11:29:33,1962-09-04,Diagonal 68 #50-17,3729733992,correo@,No,,
PAS,205057025,5828976384,Cliente183 Gómez,Retiro,346511,Inversión,Bogotá,2024-02-28 17:43:48,1993-01-09,Carrera 65 #94-31,3752305542,cliente183.765@outlook.com,Sí,369279,30 días
CE,728193103,5401983850,Cliente184 Gómez,Pago,577840,Cuenta de ahorros,Cali,2024-02-28 08:58:46,1998-04-25,Avenida 52 #91-24,3187109583,cliente184.68@mail.com,Sí,271586,60 días
CE,227620113,9894726523,Cliente185 Méndez,Compra,1851985,Inversión,Bucaramanga,1709093988,2002-07-21,Diagonal 102 #89-32,3868128744,cliente185.260@yahoo.com,No,,
CC,198882322,7624846874,Cliente186 Torres,Transferencia,1897504,Cuenta de ahorros,Cali,1709132575,1987-10-13,Avenida 2 #51-18,3162357711,usuario@dominio,Sí,625702,30 días
CE,631711432,9145443423,Cliente187 Ramírez,Retiro,1639194,Tarjeta de crédito,Medellín,1709100225,1988-10-15,Diagonal 104 #31-33,3123507573,sincorreo,Sí,343482,120 días
CC,867584069,3392963340,Cliente188 Méndez,Compra,4327179,Tarjeta de crédito,Cartagena,2024-02-28 03:26:58,1971-07-18,Carrera 55 #53-12,3281666400,correo@,Sí,278654,30 días
CE,437330493,6021995578,Cliente189 Ramírez,Pago,79904,Préstamo personal,Pereira,2024-02-28 11:44:31,1956-04-18,Calle 126 #87-13,3892108169,cliente189.55@gmail.com,Sí,578714,60 días
PAS,236943432,8577056729,Cliente190 Ramírez,Transferencia,4853949,Cuenta de ahorros,Cali,1709093822,1800-01-01,Avenida 47 #36-8,3421713132,correo@,No,,
CE,194128533,9178227284,Cliente191 Pérez,Transferencia,3446040,Inversión,Bogotá,1709157357,1986-06-27,Calle 115 #65-19,3393770259,cliente191.464@yahoo.com,Sí,437924,30 días
TI,506446534,7432672654,Cliente192 Gómez,Compra,2293154,Inversión,Bucaramanga,1709104837,1978-09-17,Avenida 82 #27-40,3316825320,cliente192.549@mail.com,No,,
CC,381875857,9376104716,Cliente193 Gómez,Depósito,3297967,Inversión,Pereira,1709163791,1984-02-26,Carrera 33 #37-36,3574068348,cliente193.104@yahoo.com,Sí,690284,90 días
CC,294367521,5872108693,Cliente194 Torres,Retiro,3798776,Préstamo personal,Barranquilla,2024-02-28 01:05:00,1800-01-01,Avenida 99 #48-17,3937314754,correo@,No,,
TI,318225444,5233872974,Cliente195 Gómez,Pago,2667028,Cuenta de ahorros,Barranquilla,1709120097,1972-12-18,Calle 90 #96-9,3991706589,usuario@dominio,Sí,629062,30 días
PAS,917977825,5278994732,Cliente196 Pérez,Depósito,2717492,Préstamo personal,Cartagena,2024-02-28 09:25:40,1990-11-21,Carrera 76 #50-35,3480280338,cliente196.542@mail.com,Sí,898998,30 días
PAS,120753477,1288901803,Cliente197 Ramírez,Depósito,208716,Cuenta de ahorros,Medellín,2024-02-28 23:44:07,1974-02-03,Carrera 85 #85-42,3554407830,cliente197.725@outlook.com,No,,
PAS,123379946,9732423595,Cliente198 Gómez,Depósito,3242415,Cuenta de ahorros,Bucaramanga,2024-02-28 07:21:04,1999-02-09,Calle 15 #38-47,3686224378,usuario@dominio,No,,
CE,240731533,2434071203,Cliente199 Ramírez,Pago,2599664,Cuenta corriente,Cali,1709133875,1989-05-02,Calle 121 #90-10,3765991635,cliente199.967@mail.com,Sí,106498,120 días
CC,100324662,4746930235,Cliente200 Ramírez,Pago,2920821,Tarjeta de crédito,Bucaramanga,2024-02-28 21:06:28,1960-02-23,Calle 5 #8-15,3943605750,correo@.,Sí,498036,120 días
CC,162990881,1864696728,Cliente201 Pérez,Transferencia,2941251,Cuenta de ahorros,Barranquilla,1709148556,1984-10-23,Carrera 115 #38-48,3898536833,cliente201.99@yahoo.com,Sí,31718,60 días
PAS,886510933,6702966836,Cliente202 Torres,Depósito,448120,Tarjeta de crédito,Medellín,2024-02-28 22:51:37,1800-01-01,Calle 79 #40-26,3755842865,usuario@dominio,No,,
TI,854818992,2576726556,Cliente203 Méndez,Retiro,965717,Tarjeta de crédito,Cali,1709149251,1974-07-10,Avenida 119 #26-48,3475392585,cliente203.606@outlook.com,No,,
PAS,623049029,3742442842,Cliente204 Torres,Depósito,779334,Préstamo personal,Bogotá,1709144147,1995-09-04,Diagonal 142 #12-4,3153087238,@dominio.com,No,,
CE,454546977,1235912732,Cliente205 Pérez,Compra,3806959,Cuenta de ahorros,Cartagena,1709094029,2002-04-02,Diagonal 15 #55-26,3579081436,correo@.,Sí,976362,60 días
CE,423549942,8911775011,Cliente206 Méndez,Transferencia,4502672,Inversión,Cali,1709141045,1963-04-14,Calle 22 #57-9,3843066977,correo@.,Sí,807949,60 días
CE,261127475,2204523006,Cliente207 Gómez,Transferencia,1084875,Inversión,Bogotá,2024-02-28 09:10:09,1967-09-01,Carrera 29 #90-50,3216580418,sincorreo,No,,
PAS,303522893,2789094072,Cliente208 Pérez,Retiro,2383829,Préstamo personal,Bogotá,2024-02-28 23:59:38,1967-06-05,Diagonal 80 #38-14,3427282261,cliente208.843@gmail.com,No,,
CC,155041313,6066087507,Cliente209 Méndez,Compra,3596014,Tarjeta de crédito,Pereira,1709091510,1951-12-23,Diagonal 59 #22-38,3986405822,sincorreo,Sí,371990,120 días
PAS,494276351,1610255371,Cliente210 Pérez,Retiro,1579043,Préstamo personal,Bogotá,2024-02-28 04:16:22,1983-06-10,Diagonal 18 #19-7,3840434526,usuario@dominio,Sí,107115,90 días
PAS,208492311,2167044000,Cliente211 Ramírez,Compra,2060999,Cuenta de ahorros,Bogotá,2024-02-28 16:40:47,2003-08-27,Carrera 98 #85-25,3429161248,cliente211.109@gmail.com,Sí,428233,60 días
PAS,674749162,5072261409,Cliente212 Gómez,Depósito,1732827,Cuenta de ahorros,Cartagena,1709137991,1956-08-14,Diagonal 72 #92-36,3415016739,@dominio.com,Sí,157637,30 días
CE,692027994,6649525681,Cliente213 Pérez,Compra,1761062,Préstamo personal,Pereira,2024-02-28 00:58:47,1976-06-02,Carrera 101 #6-30,3845913483,cliente213.745@mail.com,Sí,793843,120 días
CE,151023659,2686000121,Cliente214 Pérez,Retiro,4071768,Tarjeta de crédito,Medellín,1709162863,1969-10-09,Calle 143 #39-50,3672891454,cliente214.921@yahoo.com,Sí,520089,120 días
PAS,376896011,6767013932,Cliente215 Pérez,Transferencia,2604665,Cuenta corriente,Medellín,1709138724,1996-02-01,Calle 98 #74-16,3474387834,correo@,No,,
PAS,282839530,7197363999,Cliente216 Torres,Depósito,3605547,Préstamo personal,Medellín,2024-02-28 14:37:01,2003-05-19,Carrera 8 #8-15,3201050501,correo@.,No,,
CE,854181446,5663327588,Cliente217 Ramírez,Pago,3664001,Cuenta de ahorros,Barranquilla,1709096854,1968-07-28,Calle 125 #87-44,3942768743,cliente217.357@gmail.com,Sí,455169,60 días
PAS,183660284,5402632887,Cliente218 Pérez,Transferencia,2231273,Cuenta corriente,Barranquilla,2024-02-28 09:13:15,1965-08-02,Carrera 34 #15-45,3395956005,@dominio.com,Sí,657375,90 días
CE,313843692,5098030136,Cliente219 Méndez,Retiro,1438169,Cuenta de ahorros,Cartagena,2024-02-28 10:53:04,1964-04-20,Carrera 61 #56-46,3855839605,cliente219.518@outlook.com,Sí,70831,120 días
TI,390622988,8869144271,Cliente220 Torres,Retiro,4337309,Tarjeta de crédito,Bucaramanga,1709140495,2002-03-21,Diagonal 50 #46-46,3135739084,correo@.,No,,
TI,659660617,8267061189,Cliente221 Torres,Compra,683136,Préstamo personal,Cali,2024-02-28 02:06:28,2000-07-03,Carrera 133 #76-36,3404785341,cliente221.184@outlook.com,No,,
CC,555553048,9763092960,Cliente222 Gómez,Retiro,3048842,Inversión,Bucaramanga,1709082632,1972-01-21,Calle 83 #84-10,3497112243,usuario@dominio,No,,
CE,105537833,3963560245,Cliente223 Gómez,Transferencia,1039222,Préstamo personal,Cartagena,2024-02-28 17:29:55,2000-11-05,Diagonal 102 #39-5,3154288600,sincorreo,No,,
TI,161688374,2906508195,Cliente224 Torres,Compra,4355736,Cuenta corriente,Pereira,1709144271,1970-07-25,Avenida 75 #46-34,3880710687,cliente224.375@yahoo.com,Sí,741833,30 días
CC,339732963,6167824573,Cliente225 Ramírez,Transferencia,4308335,Inversión,Medellín,1709121071,1956-05-26,Carrera 11 #26-8,3651097876,cliente225.991@outlook.com,Sí,440113,30 días
CE,453755865,9123619418,Cliente226 Pérez,Pago,1950816,Inversión,Cartagena,2024-02-28 08:51:32,1958-06-24,Carrera 28 #18-40,3970571949,cliente226.160@outlook.com,Sí,570466,60 días
CC,985425347,2916015820,Cliente227 Gómez,Pago,2553813,Tarjeta de crédito,Medellín,1709130080,1800-01-01,Avenida 32 #71-49,3752042758,cliente227.789@yahoo.com,No,,
CC,141275991,5338490528,Cliente228 Ramírez,Retiro,3403630,Cuenta de ahorros,Barranquilla,2024-02-28 06:08:43,1994-11-09,Carrera 13 #82-29,3359470217,sincorreo,Sí,116402,120 días
TI,426733192,5655891281,Cliente229 Pérez,Transferencia,3838363,Tarjeta de crédito,Pereira,1709157539,1800-01-01,Avenida 110 #19-39,3413153349,@dominio.com,No,,
CC,484048635,9651520345,Cliente230 Méndez,Compra,3802945,Cuenta de ahorros,Cartagena,2024-02-28 15:20:06,1997-07-13,Diagonal 139 #19-4,3101665037,cliente230.325@outlook.com,No,,
CE,899534405,8899809469,Cliente231 Ramírez,Depósito,118417,Cuenta corriente,Pereira,2024-02-28 09:38:17,1978-11-11,Carrera 126 #81-5,3474500470,cliente231.914@outlook.com,Sí,640508,120 días
TI,571745086,9532332887,Cliente232 Torres,Depósito,596863,Inversión,Cartagena,2024-02-28 16:33:12,1961-05-01,Carrera 34 #36-18,3565512912,sincorreo,Sí,392729,60 días
CC,915728134,8135424139,Cliente233 Méndez,Transferencia,4612973,Cuenta corriente,Pereira,2024-02-28 16:54:47,1956-02-22,Carrera 76 #37-17,3814510274,cliente233.123@gmail.com,No,,
CC,599540971,1161441188,Cliente234 Gómez,Retiro,4825852,Tarjeta de crédito,Cartagena,2024-02-28 10:08:39,1955-06-10,Avenida 29 #49-10,3749374638,@dominio.com,Sí,80870,60 días
CC,145114881,3546443359,Cliente235 Ramírez,Retiro,4111985,Inversión,Medellín,1709101952,1964-05-08,Carrera 41 #50-45,3696332062,cliente235.254@gmail.com,No,,
PAS,664358142,6897242841,Cliente236 Méndez,Transferencia,1036775,Cuenta de ahorros,Barranquilla,2024-02-28 18:13:13,2001-05-25,Calle 65 #17-29,3144000939,sincorreo,No,,
CC,794065337,2994535997,Cliente237 Ramírez,Transferencia,3555107,Cuenta de ahorros,Pereira,1709081904,1968-07-19,Calle 150 #95-27,3849738995,correo@,No,,
TI,735652324,2435532972,Cliente238 Méndez,Transferencia,2608758,Inversión,Barranquilla,2024-02-28 05:29:07,1956-11-13,Avenida 51 #18-27,3228916505,@dominio.com,No,,
CE,670663771,4011463482,Cliente239 Pérez,Compra,1130789,Cuenta corriente,Bucaramanga,1709115647,1951-01-12,Avenida 69 #67-42,3175176680,cliente239.731@yahoo.com,No,,
TI,532662208,5942571850,Cliente240 Torres,Pago,4165229,Tarjeta de crédito,Cali,2024-02-28 08:03:27,1971-10-10,Avenida 113 #46-11,3478595898,sincorreo,Sí,230903,30 días
TI,293400536,1488197757,Cliente241 Méndez,Retiro,1937308,Cuenta corriente,Pereira,2024-02-28 19:33:49,1800-01-01,Diagonal 30 #73-50,3605019308,correo@.,Sí,655019,90 días
CC,325793996,9509933181,Cliente242 Torres,Pago,3984618,Tarjeta de crédito,Cali,1709162523,1961-01-10,Avenida 47 #42-41,3298494576,cliente242.395@mail.com,No,,
CE,812317003,4900263988,Cliente243 Torres,Retiro,3577185,Cuenta corriente,Pereira,2024-02-28 02:12:56,1976-06-06,Avenida 30 #86-28,3529115225,correo@.,Sí,719447,30 días
CE,985797852,8679592605,Cliente244 Méndez,Transferencia,4917157,Cuenta de ahorros,Pereira,1709114798,2005-05-25,Avenida 136 #94-13,3905798361,cliente244.864@gmail.com,Sí,556691,90 días
PAS,764416133,2723000362,Cliente245 Ramírez,Transferencia,2895231,Cuenta de ahorros,Cartagena,2024-02-28 19:21:04,1987-06-13,Carrera 98 #27-41,3609041101,correo@,Sí,452405,120 días
PAS,984603410,4354576337,Cliente246 Méndez,Pago,1862642,Préstamo personal,Pereira,1709104744,1950-08-21,Carrera 94 #99-42,3110600988,sincorreo,No,,
TI,358464874,1290559509,Cliente247 Torres,Pago,1040576,Cuenta corriente,Barranquilla,1709111295,2004-08-16,Calle 132 #66-18,3333070032,cliente247.492@yahoo.com,Sí,751911,30 días
CE,942205283,6057466188,Cliente248 Pérez,Retiro,257913,Cuenta de ahorros,Bogotá,1709151933,1973-11-26,Carrera 5 #7-19,3991738595,@dominio.com,Sí,146660,30 días
CE,456871575,6301192665,Cliente249 Pérez,Compra,3416489,Tarjeta de crédito,Bucaramanga,2024-02-28 19:07:08,1978-06-22,Calle 124 #51-10,3787422180,correo@,No,,
TI,748346425,1025712638,Cliente250 Torres,Compra,3385077,Cuenta de ahorros,Barranquilla,1709099141,1973-06-10,Avenida 36 #68-5,3541678957,usuario@dominio,No,,
PAS,770166691,9158971054,Cliente251 Torres,Transferencia,787950,Cuenta corriente,Bucaramanga,1709111346,1986-03-01,Calle 104 #3-32,3399804292,correo@.,Sí,940700,120 días
CC,705440823,9377436692,Cliente252 Gómez,Transferencia,4602151,Cuenta de ahorros,Bogotá,2024-02-28 02:27:34,2004-01-03,Calle 60 #78-29,3422507484,correo@.,No,,
CE,245405339,1193290059,Cliente253 Méndez,Depósito,1389069,Préstamo personal,Bucaramanga,1709141242,1963-06-26,Calle 148 #19-40,3567814535,cliente253.908@yahoo.com,Sí,192695,120 días
CE,151253224,6919217080,Cliente254 Méndez,Compra,2317359,Cuenta de ahorros,Pereira,2024-02-28 05:48:21,1977-06-20,Carrera 8 #36-4,3968641274,cliente254.481@gmail.com,Sí,37852,60 días
CE,720346331,3080151431,Cliente255 Pérez,Pago,1267033,Cuenta corriente,Bogotá,1709134194,2005-06-20,Calle 126 #17-25,3668175391,@dominio.com,No,,
PAS,394504270,5917972255,Cliente256 Pérez,Depósito,3445779,Cuenta corriente,Bogotá,2024-02-28 12:42:18,2003-03-20,Avenida 93 #31-3,3560656809,correo@,No,,
CC,880627695,5015087995,Cliente257 Méndez,Transferencia,2613983,Cuenta corriente,Cali,1709121080,1800-01-01,Diagonal 141 #20-12,3334582653,sincorreo,Sí,894978,30 días
TI,613269767,2256695703,Cliente258 Torres,Pago,3209308,Cuenta de ahorros,Cali,2024-02-28 03:33:20,2002-02-12,Diagonal 64 #94-35,3289383955,correo@.,No,,
CC,729750839,1079940407,Cliente259 Ramírez,Compra,3281550,Tarjeta de crédito,Barranquilla,1709160305,1992-02-16,Calle 2 #1-20,3477626641,usuario@dominio,No,,
CC,353384424,5710350676,Cliente260 Ramírez,Transferencia,4590172,Tarjeta de crédito,Barranquilla,2024-02-28 14:51:21,1961-02-04,Avenida 45 #100-1,3994084025,@dominio.com,Sí,729366,60 días
CC,491095733,7389140198,Cliente261 Ramírez,Transferencia,3283460,Cuenta corriente,Bucaramanga,2024-02-28 14:40:28,1951-05-23,Calle 42 #51-6,3137040462,cliente261.930@outlook.com,No,,
CE,551545817,5836478079,Cliente262 Pérez,Compra,711860,Cuenta corriente,Bogotá,1709140550,1977-05-28,Calle 136 #27-1,3243870672,cliente262.684@yahoo.com,No,,
TI,858741183,4632732150,Cliente263 Méndez,Transferencia,4168995,Cuenta de ahorros,Pereira,2024-02-28 11:13:43,1969-10-08,Carrera 129 #45-19,3313199793,usuario@dominio,Sí,617169,30 días
PAS,853381612,4683654883,Cliente264 Pérez,Depósito,1641702,Préstamo personal,Pereira,2024-02-28 10:40:49,1978-10-28,Carrera 150 #60-20,3567202219,@dominio.com,Sí,86443,60 días
TI,388083535,1858716904,Cliente265 Ramírez,Depósito,3024204,Préstamo personal,Barranquilla,1709141706,1999-08-19,Carrera 109 #99-38,3601747646,correo@.,Sí,662440,60 días
CC,142211487,6294326317,Cliente266 Torres,Pago,672771,Préstamo personal,Cali,2024-02-28 06:08:12,1987-10-17,Diagonal 105 #77-20,3808659415,@dominio.com,No,,
CE,252003869,3426750536,Cliente267 Gómez,Depósito,4932390,Cuenta de ahorros,Barranquilla,2024-02-28 22:59:38,2002-05-22,Calle 109 #34-32,3865993850,@dominio.com,Sí,673636,120 días
PAS,209731568,4842009099,Cliente268 Ramírez,Transferencia,3489501,Tarjeta de crédito,Cali,2024-02-28 22:43:00,1800-01-01,Carrera 112 #41-15,3507534281,cliente268.491@outlook.com,Sí,640584,30 días
TI,974359450,7531062737,Cliente269 Gómez,Compra,3721861,Cuenta corriente,Bucaramanga,1709093112,1800-01-01,Diagonal 23 #35-40,3224505056,cliente269.45@yahoo.com,No,,
TI,646305935,8256048267,Cliente270 Torres,Transferencia,2832210,Tarjeta de crédito,Pereira,2024-02-28 15:14:35,1999-02-11,Diagonal 131 #100-50,3577773863,sincorreo,Sí,693603,120 días
TI,698889448,3947016122,Cliente271 Ramírez,Compra,4108714,Cuenta corriente,Medellín,1709156859,1953-04-23,Avenida 48 #90-31,3972504579,cliente271.846@gmail.com,Sí,479222,120 días
CE,910263125,7295461654,Cliente272 Torres,Pago,595839,Cuenta de ahorros,Cali,2024-02-28 06:58:54,1974-02-18,Avenida 42 #13-27,3918868844,usuario@dominio,No,,
TI,497794100,2177388217,Cliente273 Gómez,Compra,1210475,Cuenta corriente,Bucaramanga,1709123226,1962-10-23,Diagonal 54 #57-2,3694529883,correo@.,No,,
TI,310700811,1388051686,Cliente274 Ramírez,Compra,553603,Tarjeta de crédito,Pereira,1709149964,1994-06-20,Avenida 134 #20-13,3641756049,cliente274.312@yahoo.com,No,,
PAS,703833620,9635307360,Cliente275 Torres,Retiro,2829078,Inversión,Cali,1709134028,1990-09-11,Carrera 56 #48-32,3200275398,sincorreo,No,,
CE,570982746,7764037399,Cliente276 Méndez,Retiro,3872534,Préstamo personal,Bucaramanga,1709114165,1987-03-16,Diagonal 123 #75-31,3761157761,cliente276.21@outlook.com,No,,
CE,505390247,3313192923,Cliente277 Gómez,Pago,994956,Inversión,Pereira,1709120842,1987-09-06,Avenida 80 #91-34,3233378930,cliente277.34@gmail.com,Sí,357520,120 días
TI,612285021,3584353766,Cliente278 Pérez,Pago,3893815,Préstamo personal,Cali,2024-02-28 21:05:41,2003-03-06,Calle 55 #90-37,3994327170,cliente278.257@outlook.com,Sí,718714,30 días
PAS,748406901,4405883856,Cliente279 Gómez,Depósito,581832,Cuenta de ahorros,Bogotá,2024-02-28 00:30:32,1977-12-22,Diagonal 108 #15-26,3707760335,usuario@dominio,Sí,503922,90 días
CE,317564542,3696903061,Cliente280 Torres,Retiro,3695256,Préstamo personal,Bogotá,1709138677,1978-04-07,Avenida 59 #82-1,3273799530,cliente280.147@yahoo.com,No,,
CC,222623526,3242122133,Cliente281 Torres,Retiro,4004390,Cuenta corriente,Barranquilla,1709114514,1986-12-28,Carrera 131 #89-39,3988370938,@dominio.com,Sí,240626,120 días
CC,426064187,3395105316,Cliente282 Torres,Retiro,2745460,Cuenta corriente,Bogotá,2024-02-28 15:28:58,1993-04-13,Diagonal 67 #41-45,3211466786,cliente282.973@yahoo.com,No,,
CE,305720567,2376273060,Cliente283 Pérez,Transferencia,1433850,Préstamo personal,Medellín,1709127445,1970-04-23,Diagonal 14 #34-37,3839852592,cliente283.217@yahoo.com,Sí,856521,120 días
PAS,815972285,8306641015,Cliente284 Méndez,Depósito,4506805,Cuenta corriente,Cartagena,1709106667,1969-05-25,Calle 43 #92-28,3257716068,sincorreo,No,,
